scielo_id	seq	surname	given_names
S0011-52581997000200001	1	Cardoso	Adalberto Moreira
S0011-52581997000200002	1	Jasmin	Marcelo Gantus
S0011-52581997000200003	1	Carvalho	José Murilo de
S0011-52581997000200004	1	Giumbelli	Emerson
S0011-52581997000200005	1	Freitas	Renan Springer de
S0011-52581997000200006	1	Herz	Mônica
S0011-52581997000300003	1	Santos	Maria Helena de Castro
S0011-52581997000300004	1	Souza	Manoel Tibério Alves de
S0011-52581997000300005	1	Rezende	Flávio da Cunha
S0011-52581997000300006	1	Nicolau	Jairo Marconi
S0011-52581997000300007	1	Santos	Fabiano
S0011-52581997000300008	1	Samuels	David
S0011-52581998000100001	1	Faucher	Philippe
S0011-52581998000100002	1	Couto	Cláudio Gonçalves
S0011-52581998000100003	1	Fuks	Mario
S0011-52581998000100004	1	Fontes	Breno Augusto Souto-Maior
S0011-52581998000100005	1	Giuliani	Gian Mario
S0011-52581998000100006	1	Cavalcanti	H. B.
S0011-52581998000200001	1	Santos	Wanderley Guilherme dos
S0011-52581998000200002	1	Faria	Carlos Aurélio Pimenta de
S0011-52581998000200003	1	Scalon	Maria Celi
S0011-52581998000200004	1	Santos	José Alcides Figueiredo
S0011-52581998000200005	1	ODougherty	Maureen
S0011-52581998000300001	1	Vianna	Luiz Werneck
S0011-52581998000300001	2	Carvalho	Maria Alice Rezende de
S0011-52581998000300001	3	Melo	Manuel Palacios Cunha
S0011-52581998000300001	4	Burgos	Marcelo Baumann
S0011-52581998000300002	1	Beato F.	Claudio C.
S0011-52581998000300003	1	Souza	Celina
S0011-52581998000300004	1	Castro Santos	Luiz A. de
S0011-52581998000300005	1	Miguel	Luis Felipe
S0011-52581998000400001	1	Mingione	Enzo
S0011-52581998000400002	1	Cardoso	Adalberto M.
S0011-52581998000400003	1	Sansone	Livio
S0011-52581998000400004	1	Almeida	Alberto Carlos
S0011-52581998000400005	1	Esteves	Paulo Luiz Moreaux Lavigne
S0011-52581998000400006	1	Santos	Fabiano
S0011-52581999000100002	1	Soares	Gláucio A. Dillon
S0011-52581999000100004	1	Lima Junior	Olavo Brasil de
S0011-52581999000100005	1	Tavares	José Antônio Giusti
S0011-52581999000100006	1	Santos	Fabiano
S0011-52581999000100007	1	Oliveira	Luís R. Cardoso de
S0011-52581999000100008	1	Lessa	Carlos
S0011-52581999000200001	1	Stepan	Alfred
S0011-52581999000200002	1	Miguel	Luis Felipe
S0011-52581999000200003	1	Schmitt	Rogério
S0011-52581999000200003	2	Carneiro	Leandro Piquet
S0011-52581999000200003	3	Kuschnir	Karina
S0011-52581999000200004	1	Domingues	José Maurício
S0011-52581999000200005	1	Marques	Eduardo Cesar
S0011-52581999000300001	1	Vieira	Liszt
S0011-52581999000300002	1	Almeida	Maria Hermínia Tavares de
S0011-52581999000300003	1	Kerstenetzky	Celia Lessa
S0011-52581999000300004	1	Vita	Álvaro de
S0011-52581999000300005	1	Pádua	José Augusto
S0011-52581999000300006	1	Bezerra Neto	José Maia
S0011-52581999000400001	1	ODonnell	Guillermo
S0011-52581999000400002	1	Boschi	Renato Raul
S0011-52581999000400003	1	Ribeiro	Carlos Antonio Costa
S0011-52581999000400004	1	Vargas	Joana Domingues
S0011-52581999000400005	1	Venuto	Adriana
S0011-52582000000100001	1	Arbix	Glauco
S0011-52582000000100002	1	Cardoso	Adalberto Moreira
S0011-52582000000100003	1	Carvalho	José Murilo de
S0011-52582000000100004	1	Borges	André
S0011-52582000000100005	1	Labra	Maria Eliana
S0011-52582000000100006	1	Machado	Igor José de Renó
S0011-52582000000200001	1	Melo	Carlos Ranulfo Felix de
S0011-52582000000200002	1	Noronha	Eduardo G.
S0011-52582000000200003	1	Shikida	Cláudio Djissey
S0011-52582000000200003	2	Monasterio	Leonardo M.
S0011-52582000000200004	1	Coutinho	Marília
S0011-52582000000200004	2	Soares	Gláucio A. D.
S0011-52582000000200005	1	Grün	Roberto
S0011-52582000000200006	1	Hamlin	Cynthia Lins
S0011-52582000000200007	1	Santana	Marco Aurélio
S0011-52582000000300001	1	Silva	Nelson do Valle
S0011-52582000000300001	2	Hasenbalg	Carlos
S0011-52582000000300002	1	Lavinas	Lena
S0011-52582000000300002	2	Barbosa	Maria Ligia de Oliveira
