scielo_id	seq	instituicao	localidade	pais
S0011-52582011000100001	1	,Universidade Federal de Juiz de Fora  	Juiz de Fora MG	Brasil
S0011-52582011000100002	1	,Universidade do Estado do Rio de Janeiro .  	Rio de Janeiro RJ	Brasil
S0011-52582011000100005	1	,Universidade de Warwick Departamento de Sociologia 	 	Reino Unido
S0011-52582011000100006	1	,Universidade Federal do Rio Grande do Sul Departamento de Sociologia 	Porto Alegre RS	Brasil
S0011-52582011000100006	2	,Universidade Federal de Viçosa Departamento de Ciências Sociais 	Viçosa MG	Brasil
S0011-52582011000200001	1	,Fundação Getulio Vargas  	São Paulo SP	Brasil
S0011-52582011000200002	1	,Universidade de São Paulo Departamento de Sociologia 	São Paulo SP	Brasil
S0011-52582011000200004	1	,Fundação Getulio Vargas  	São Paulo SP	Brasil
S0011-52582011000200004	2	,EAESP/FGV  	São Paulo SP	Brasil
S0011-52582011000200004	3	,Fundação Escola de Comércio Álvares Penteado  	São Paulo SP	Brasil
S0011-52582011000300002	1	,Universidade do Estado do Rio de Janeiro Instituto de Estudos Sociais e Políticos 	Rio de Janeiro RJ	Brasil
S0011-52582011000300002	2	,Universidade do Estado do Rio de Janeiro Instituto de Estudos Sociais e Políticos 	Rio de Janeiro RJ	Brasil
S0011-52582011000300003	1	,Universidade Federal de São Carlos Núcleo de Estudos em Sociologia Econômica e das Finanças 	São Carlos SP	Brasil
S0011-52582011000300005	1	,Universidade de Brasília Instituto de Ciência Política 	Brasília DF	Brasil
S0011-52582011000300006	1	,Universidade do Estado do Rio de Janeiro Instituto de Estudos Sociais e Políticos 	Rio de Janeiro RJ	Brasil
S0011-52582011000400002	1	,Universidade de São Paulo Departamento de Sociologia 	São Paulo 	Brasil
S0011-52582011000400003	1	,Universidade de São Paulo Departamento de Ciência Política 	São Paulo 	Brasil
S0011-52582011000400005	1	,Universidade Federal do Rio Grande do Sul Departamento de Ciência Política 	Porto Alegre RS	Brasil
S0011-52582013000100006	1	,Sciences Po Departamento de Sociologia 	 	Paris
